,FID,Field1,FID_,Join_Count,TARGET_FID,TMK,EFFLUENT,X,Y,Uid,Grid_ID,Grid_ID_X,Grid_ID_Y,Starts_ID,Flikr_ID,Flikr_X,Flikr_Y,State_ID
76,76,76,76,1,76,251006009,1000.0,-157.229930281,21.171643951,-157.22993_21.17164,43_34,34.0,43.0,starts_130,flk_2353,-157.252345536,21.1823747877,flk_2353_Maui
77,77,77,77,1,77,251006021,800.0,-157.240694148,21.1731576717,-157.24069_21.17315,42_30,30.0,42.0,starts_122,flk_2311,-157.252398611,21.1778591713,flk_2311_Maui
78,78,78,78,1,78,251006023,600.0,-157.2387926,21.1742351025,-157.23879_21.17423,40_30,30.0,40.0,starts_99,flk_2327,-157.252372075,21.1801169798,flk_2327_Maui
79,79,79,79,1,79,251006024,800.0,-157.239885982,21.1755026288,-157.23988_21.17550,39_30,30.0,39.0,starts_83,flk_2327,-157.252372075,21.1801169798,flk_2327_Maui
80,80,80,80,1,80,251006032,800.0,-157.243881877,21.1733229066,-157.24388_21.17332,41_29,29.0,41.0,starts_108,flk_2311,-157.252398611,21.1778591713,flk_2311_Maui
81,81,81,81,1,81,251006033,800.0,-157.245246518,21.172859615,-157.24524_21.17285,42_28,28.0,42.0,starts_121,flk_2311,-157.252398611,21.1778591713,flk_2311_Maui
82,82,82,82,1,82,251006036,400.0,-157.247671522,21.1724883793,-157.24767_21.17248,42_27,27.0,42.0,starts_120,flk_2294,-157.254832339,21.1756262289,flk_2294_Maui
83,83,83,83,1,83,251006039,1000.0,-157.250789645,21.1687877814,-157.25078_21.16878,49_26,26.0,49.0,starts_172,flk_2267,-157.257265995,21.1733932459,flk_2267_Maui
84,84,84,84,1,84,251006047,600.0,-157.24786659,21.1652756502,-157.24786_21.16527,54_27,27.0,54.0,starts_226,flk_2250,-157.259699578,21.1711602222,flk_2250_Maui
85,85,85,85,1,85,251006062,1800.0,-157.258234514,21.166526752,-157.25823_21.16652,53_24,24.0,53.0,starts_211,flk_2223,-157.262133087,21.1689271578,flk_2223_Maui
86,86,86,86,1,86,251006063,600.0,-157.257528248,21.1670862932,-157.25752_21.16708,52_24,24.0,52.0,starts_195,flk_2250,-157.259699578,21.1711602222,flk_2250_Maui
87,87,87,87,1,87,251006064,800.0,-157.256821977,21.1676458319,-157.25682_21.16764,51_24,24.0,51.0,starts_185,flk_2250,-157.259699578,21.1711602222,flk_2250_Maui
88,88,88,88,1,88,251006069,1000.0,-157.2538066,21.1708317172,-157.25380_21.17083,45_25,25.0,45.0,starts_144,flk_2267,-157.257265995,21.1733932459,flk_2267_Maui
89,89,89,89,1,89,251006072,2000.0,-157.252253325,21.1728862093,-157.25225_21.17288,42_26,26.0,42.0,starts_119,flk_2294,-157.254832339,21.1756262289,flk_2294_Maui
90,90,90,90,1,90,251006075,200.0,-157.250141702,21.1750206055,-157.25014_21.17502,40_27,27.0,40.0,starts_98,flk_2311,-157.252398611,21.1778591713,flk_2311_Maui
91,91,91,91,1,91,251006084,600.0,-157.241717828,21.1784511119,-157.24171_21.17845,35_29,29.0,35.0,starts_53,flk_2353,-157.252345536,21.1823747877,flk_2353_Maui
92,92,92,92,1,92,251006088,1000.0,-157.239415605,21.1785722569,-157.23941_21.17857,35_30,30.0,35.0,starts_54,flk_2353,-157.252345536,21.1823747877,flk_2353_Maui
93,93,93,93,1,93,251006090,400.0,-157.241441205,21.1800238281,-157.24144_21.18002,33_30,30.0,33.0,starts_44,flk_2377,-157.249885072,21.186865486,flk_2377_Maui
94,94,94,94,1,94,251006092,600.0,-157.240071181,21.1809278322,-157.24007_21.18092,31_30,30.0,31.0,starts_34,flk_2377,-157.249885072,21.186865486,flk_2377_Maui
95,95,95,95,1,95,251006093,1000.0,-157.238832542,21.1799966281,-157.23883_21.17999,33_30,30.0,33.0,starts_44,flk_2377,-157.249885072,21.186865486,flk_2377_Maui
96,96,96,96,1,96,251006094,400.0,-157.237849185,21.1792677458,-157.23784_21.17926,34_31,31.0,34.0,starts_49,flk_2377,-157.249885072,21.186865486,flk_2377_Maui
97,97,97,97,1,97,251006095,600.0,-157.237296545,21.1784483425,-157.23729_21.17844,35_31,31.0,35.0,starts_55,flk_2377,-157.249885072,21.186865486,flk_2377_Maui
98,98,98,98,1,98,251006101,600.0,-157.236102519,21.1735270946,-157.23610_21.17352,41_31,31.0,41.0,starts_109,flk_2327,-157.252372075,21.1801169798,flk_2327_Maui
99,99,99,99,1,99,251006102,200.0,-157.234985745,21.1735420422,-157.23498_21.17354,41_32,32.0,41.0,starts_110,flk_2327,-157.252372075,21.1801169798,flk_2327_Maui
100,100,100,100,1,100,251006104,800.0,-157.235550379,21.1759375343,-157.23555_21.17593,38_32,32.0,38.0,starts_76,flk_2353,-157.252345536,21.1823747877,flk_2353_Maui
101,101,101,101,1,101,251006106,1000.0,-157.235492671,21.1779510871,-157.23549_21.17795,36_32,32.0,36.0,starts_62,flk_2377,-157.249885072,21.186865486,flk_2377_Maui
102,102,102,102,1,102,251006107,400.0,-157.235490634,21.1788996746,-157.23549_21.17889,35_32,32.0,35.0,starts_56,flk_2377,-157.249885072,21.186865486,flk_2377_Maui
103,103,103,103,1,103,251006109,400.0,-157.236508845,21.1801664802,-157.23650_21.18016,32_31,31.0,32.0,starts_41,flk_2377,-157.249885072,21.186865486,flk_2377_Maui
104,104,104,104,1,104,251006110,400.0,-157.237426662,21.1808739795,-157.23742_21.18087,31_31,31.0,31.0,starts_35,flk_2377,-157.249885072,21.186865486,flk_2377_Maui
105,105,105,105,1,105,251006112,600.0,-157.239354464,21.1819937723,-157.23935_21.18199,29_30,30.0,29.0,starts_26,flk_2377,-157.249885072,21.186865486,flk_2377_Maui
106,106,106,106,1,106,251006114,600.0,-157.24170008,21.1823621559,-157.24170_21.18236,28_29,29.0,28.0,starts_20,flk_2377,-157.249885072,21.186865486,flk_2377_Maui
107,107,107,107,1,107,251006115,400.0,-157.240159857,21.1830630102,-157.24015_21.18306,27_30,30.0,27.0,starts_15,flk_2377,-157.249885072,21.186865486,flk_2377_Maui
108,108,108,108,1,108,251006119,1000.0,-157.238674395,21.1840841638,-157.23867_21.18408,26_30,30.0,26.0,starts_7,flk_2377,-157.249885072,21.186865486,flk_2377_Maui
109,109,109,109,1,109,251006121,400.0,-157.237152481,21.1829429772,-157.23715_21.18294,27_31,31.0,27.0,starts_16,flk_2377,-157.249885072,21.186865486,flk_2377_Maui
110,110,110,110,1,110,251006124,400.0,-157.234690528,21.1812457486,-157.23469_21.18124,30_32,32.0,30.0,starts_31,flk_2377,-157.249885072,21.186865486,flk_2377_Maui
111,111,111,111,1,111,251006126,800.0,-157.232334737,21.1814896441,-157.23233_21.18148,30_33,33.0,30.0,starts_32,flk_2377,-157.249885072,21.186865486,flk_2377_Maui
112,112,112,112,1,112,251006127,1000.0,-157.231159071,21.1818665854,-157.23115_21.18186,29_33,33.0,29.0,starts_27,flk_2377,-157.249885072,21.186865486,flk_2377_Maui
113,113,113,113,1,113,251006137,800.0,-157.227302857,21.1758282724,-157.22730_21.17582,38_34,34.0,38.0,starts_77,flk_2377,-157.249885072,21.186865486,flk_2377_Maui
114,114,114,114,1,114,251006138,800.0,-157.229050137,21.1745295742,-157.22905_21.17452,40_34,34.0,40.0,starts_100,flk_2353,-157.252345536,21.1823747877,flk_2353_Maui
115,115,115,115,1,115,251006139,400.0,-157.230620563,21.1752752811,-157.23062_21.17527,39_33,33.0,39.0,starts_85,flk_2353,-157.252345536,21.1823747877,flk_2353_Maui
116,116,116,116,1,116,251006140,400.0,-157.23121867,21.1758200441,-157.23121_21.17582,39_33,33.0,39.0,starts_85,flk_2353,-157.252345536,21.1823747877,flk_2353_Maui
117,117,117,117,1,117,251006141,600.0,-157.231360956,21.1767915874,-157.23136_21.17679,37_33,33.0,37.0,starts_72,flk_2377,-157.249885072,21.186865486,flk_2377_Maui
118,118,118,118,1,118,251006143,800.0,-157.230725411,21.1785599282,-157.23072_21.17855,35_33,33.0,35.0,starts_57,flk_2377,-157.249885072,21.186865486,flk_2377_Maui
119,119,119,119,1,119,251006145,400.0,-157.231814524,21.1798623519,-157.23181_21.17986,33_33,33.0,33.0,starts_45,flk_2377,-157.249885072,21.186865486,flk_2377_Maui
120,120,120,120,1,120,251006147,400.0,-157.233358243,21.1783854871,-157.23335_21.17838,35_32,32.0,35.0,starts_56,flk_2377,-157.249885072,21.186865486,flk_2377_Maui
121,121,121,121,1,121,251006148,600.0,-157.233481594,21.1775410465,-157.23348_21.17754,37_32,32.0,37.0,starts_71,flk_2367,-157.249911654,21.1846076823,flk_2367_Maui
122,122,122,122,1,122,251006150,600.0,-157.233466572,21.1757262406,-157.23346_21.17572,39_32,32.0,39.0,starts_84,flk_2353,-157.252345536,21.1823747877,flk_2353_Maui
123,123,123,123,1,123,251006152,800.0,-157.233255716,21.1739033617,-157.23325_21.17390,41_32,32.0,41.0,starts_110,flk_2327,-157.252372075,21.1801169798,flk_2327_Maui
124,124,124,124,1,124,251006158,1400.0,-157.22981509,21.175183856,-157.22981_21.17518,39_34,34.0,39.0,starts_86,flk_2377,-157.249885072,21.186865486,flk_2377_Maui
125,125,125,125,1,125,251007002,400.0,-157.253055067,21.1592972942,-157.25305_21.15929,61_26,26.0,61.0,starts_288,flk_2223,-157.262133087,21.1689271578,flk_2223_Maui
126,126,126,126,1,126,251007006,400.0,-157.256255317,21.154911104,-157.25625_21.15491,66_24,24.0,66.0,starts_316,flk_2186,-157.266999888,21.1644609072,flk_2186_Maui
127,127,127,127,1,127,251007013,600.0,-157.259598037,21.1554758645,-157.25959_21.15547,66_23,23.0,66.0,starts_315,flk_2183,-157.269433179,21.162227721,flk_2183_Maui
128,128,128,128,1,128,251007015,400.0,-157.263821098,21.1541806905,-157.26382_21.15418,68_22,22.0,68.0,starts_321,flk_2183,-157.269433179,21.162227721,flk_2183_Maui
129,129,129,129,1,129,251007023,800.0,-157.274301889,21.1530016096,-157.27430_21.15300,70_18,18.0,70.0,starts_330,flk_2175,-157.279113417,21.157810264,flk_2175_Maui
130,130,130,130,1,130,251007028,1000.0,-157.276333511,21.1562121883,-157.27633_21.15621,65_17,17.0,65.0,starts_310,flk_2175,-157.279113417,21.157810264,flk_2175_Maui
131,131,131,131,1,131,251007029,400.0,-157.275271982,21.1566675057,-157.27527_21.15666,64_18,18.0,64.0,starts_301,flk_2176,-157.276706478,21.1577857625,flk_2176_Maui
132,132,132,132,1,132,251007031,600.0,-157.273185033,21.1571446008,-157.27318_21.15714,64_19,19.0,64.0,starts_302,flk_2179,-157.274273366,21.160019067,flk_2179_Maui
133,133,133,133,1,133,251007032,900.0,-157.272200937,21.1572614522,-157.27220_21.15726,64_19,19.0,64.0,starts_302,flk_2179,-157.274273366,21.160019067,flk_2179_Maui
134,134,134,134,1,134,251007034,400.0,-157.270093081,21.1575588765,-157.27009_21.15755,63_20,20.0,63.0,starts_294,flk_2180,-157.271866397,21.1599944942,flk_2180_Maui
135,135,135,135,1,135,251007036,400.0,-157.270358,21.1549948307,-157.27035_21.15499,66_20,20.0,66.0,starts_314,flk_2179,-157.274273366,21.160019067,flk_2179_Maui
136,136,136,136,1,136,251007037,800.0,-157.271592802,21.1550932795,-157.27159_21.15509,66_19,19.0,66.0,starts_313,flk_2179,-157.274273366,21.160019067,flk_2179_Maui
137,137,137,137,1,137,251007041,900.0,-157.27072669,21.1532579356,-157.27072_21.15325,69_19,19.0,69.0,starts_325,flk_2175,-157.279113417,21.157810264,flk_2175_Maui
138,138,138,138,1,138,251007043,800.0,-157.268894807,21.153475129,-157.26889_21.15347,69_20,20.0,69.0,starts_326,flk_2179,-157.274273366,21.160019067,flk_2179_Maui
139,139,139,139,1,139,251007048,1200.0,-157.267741667,21.158002626,-157.26774_21.15800,63_20,20.0,63.0,starts_294,flk_2180,-157.271866397,21.1599944942,flk_2180_Maui
140,140,140,140,1,140,251007050,1000.0,-157.26489344,21.1572633747,-157.26489_21.15726,64_21,21.0,64.0,starts_303,flk_2183,-157.269433179,21.162227721,flk_2183_Maui
141,141,141,141,1,141,251007052,1400.0,-157.266124074,21.1587385147,-157.26612_21.15873,62_21,21.0,62.0,starts_292,flk_2183,-157.269433179,21.162227721,flk_2183_Maui
142,142,142,142,1,142,251007053,400.0,-157.267581614,21.1593834472,-157.26758_21.15938,61_21,21.0,61.0,starts_287,flk_2183,-157.269433179,21.162227721,flk_2183_Maui
143,143,143,143,1,143,251007054,600.0,-157.266604184,21.1599320664,-157.26660_21.15993,61_21,21.0,61.0,starts_287,flk_2183,-157.269433179,21.162227721,flk_2183_Maui
144,144,144,144,1,144,251007055,1400.0,-157.266197133,21.1608608792,-157.26619_21.16086,60_21,21.0,60.0,starts_279,flk_2183,-157.269433179,21.162227721,flk_2183_Maui
145,145,145,145,1,145,251007062,800.0,-157.262855578,21.162543243,-157.26285_21.16254,58_22,22.0,58.0,starts_269,flk_2186,-157.266999888,21.1644609072,flk_2186_Maui
146,146,146,146,1,146,251007064,800.0,-157.261755562,21.1638096991,-157.26175_21.16380,56_23,23.0,56.0,starts_249,flk_2199,-157.264566524,21.1666940528,flk_2199_Maui
147,147,147,147,1,147,251007065,800.0,-157.261042618,21.1643391771,-157.26104_21.16433,56_23,23.0,56.0,starts_249,flk_2199,-157.264566524,21.1666940528,flk_2199_Maui
148,148,148,148,1,148,251007066,600.0,-157.260308568,21.164883292,-157.26030_21.16488,55_23,23.0,55.0,starts_237,flk_2223,-157.262133087,21.1689271578,flk_2223_Maui
149,149,149,149,1,149,251007068,800.0,-157.258918353,21.1659849718,-157.25891_21.16598,54_24,24.0,54.0,starts_225,flk_2223,-157.262133087,21.1689271578,flk_2223_Maui
150,150,150,150,1,150,254011050,600.0,-156.987506446,21.078286925,-156.98750_21.07828,124_165,0.0,0.0,starts_477,flk_1868,-156.988965624,21.0755854086,flk_1868_Maui
151,151,151,151,1,151,254011051,600.0,-156.987268011,21.0781928714,-156.98726_21.07819,125_165,0.0,0.0,starts_483,flk_1869,-156.98656041,21.0755568864,flk_1869_Maui
152,152,152,152,1,152,254011052,1000.0,-156.98642297,21.0778990592,-156.98642_21.07789,125_166,0.0,0.0,starts_484,flk_1869,-156.98656041,21.0755568864,flk_1869_Maui
153,153,153,153,1,153,254011053,600.0,-156.986974119,21.0778138653,-156.98697_21.07781,125_165,0.0,0.0,starts_483,flk_1869,-156.98656041,21.0755568864,flk_1869_Maui
